"filename", "language", "Less", "HTML", "TypeScript", "SCSS", "CSS", "comment", "blank", "total"
"d:\DATN\Seller-Web\src\app\admin\advertisement\advertisement.component.html", "HTML", 0, 54, 0, 0, 0, 0, 2, 56
"d:\DATN\Seller-Web\src\app\admin\advertisement\advertisement.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\DATN\Seller-Web\src\app\admin\advertisement\advertisement.component.ts", "TypeScript", 0, 0, 130, 0, 0, 2, 8, 140
"d:\DATN\Seller-Web\src\app\admin\confirm-product-detail\confirm-product-detail.component.html", "HTML", 0, 84, 0, 0, 0, 4, 2, 90
"d:\DATN\Seller-Web\src\app\admin\confirm-product-detail\confirm-product-detail.component.scss", "SCSS", 0, 0, 0, 30, 0, 0, 3, 33
"d:\DATN\Seller-Web\src\app\admin\confirm-product-detail\confirm-product-detail.component.ts", "TypeScript", 0, 0, 121, 0, 0, 0, 9, 130
"d:\DATN\Seller-Web\src\app\admin\confirm-product\confirm-product.component.html", "HTML", 0, 65, 0, 0, 0, 4, 1, 70
"d:\DATN\Seller-Web\src\app\admin\confirm-product\confirm-product.component.scss", "SCSS", 0, 0, 0, 8, 0, 0, 1, 9
"d:\DATN\Seller-Web\src\app\admin\confirm-product\confirm-product.component.ts", "TypeScript", 0, 0, 94, 0, 0, 0, 11, 105
"d:\DATN\Seller-Web\src\app\admin\statitics\statitics.component.html", "HTML", 0, 101, 0, 0, 0, 7, 1, 109
"d:\DATN\Seller-Web\src\app\admin\statitics\statitics.component.scss", "SCSS", 0, 0, 0, 40, 0, 0, 5, 45
"d:\DATN\Seller-Web\src\app\admin\statitics\statitics.component.ts", "TypeScript", 0, 0, 146, 0, 0, 0, 9, 155
"d:\DATN\Seller-Web\src\app\admin\user-detail\user-detail.component.html", "HTML", 0, 36, 0, 0, 0, 0, 1, 37
"d:\DATN\Seller-Web\src\app\admin\user-detail\user-detail.component.scss", "SCSS", 0, 0, 0, 34, 0, 0, 3, 37
"d:\DATN\Seller-Web\src\app\admin\user-detail\user-detail.component.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 3, 61
"d:\DATN\Seller-Web\src\app\admin\user\user.component.html", "HTML", 0, 57, 0, 0, 0, 0, 1, 58
"d:\DATN\Seller-Web\src\app\admin\user\user.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\DATN\Seller-Web\src\app\admin\user\user.component.ts", "TypeScript", 0, 0, 94, 0, 0, 0, 8, 102
"d:\DATN\Seller-Web\src\app\app-routing.module.ts", "TypeScript", 0, 0, 104, 0, 0, 0, 3, 107
"d:\DATN\Seller-Web\src\app\app.component.html", "HTML", 0, 67, 0, 0, 0, 0, 2, 69
"d:\DATN\Seller-Web\src\app\app.component.scss", "SCSS", 0, 0, 0, 114, 0, 0, 13, 127
